counter,shot_type,made,attempts,percentage
600,tip,861,1732,0.4971131639722864
600,driving finger roll,320,414,0.7729468599033816
600,slam dunk,1054,1075,0.9804651162790697
600,turnaround hook,119,224,0.53125
600,alley oop layup,175,239,0.7322175732217573
600,running hook,163,281,0.5800711743772242
600,alley oop dunk,348,381,0.9133858267716536
600,running layup,253,400,0.6325
600,jump hook,418,691,0.6049204052098408
600,tip-in,10,68,0.14705882352941177
600,turnaround finger roll,15,16,0.9375
600,hook bank,41,46,0.8913043478260869
600,reverse dunk,92,97,0.9484536082474226
600,3pt,1246,2361,0.5277424819991529
600,fade away jumper,59,97,0.6082474226804123
600,driving hook,56,104,0.5384615384615384
600,finger roll,142,200,0.71
600,running finger roll,38,48,0.7916666666666666
600,running finger,3,4,0.75
600,alley oop layup shot,16,20,0.8
600,running tip-in,3,3,1.0
600,de souza jump,1,1,1.0
600,de souza driving layup,1,1,1.0
600,running tip,1,1,1.0
600,running 3pt,3,3,1.0
700,hook,1031,2274,0.45338610378188215
700,jump bank,861,1226,0.702283849918434
700,jump,20398,59658,0.34191558550403967
700,turnaround jump,1182,2170,0.5447004608294931
700,running dunk,74,78,0.9487179487179487
700,driving layup,4757,6277,0.7578461048271468
700,running jump,1472,2522,0.5836637589214909
700,follow up dunk,287,312,0.9198717948717948
700,dunk,1849,2139,0.8644226273959794
700,fade away,766,1226,0.6247960848287113
700,reverse layup,1147,1658,0.6917973462002412
700,layup,8949,18754,0.47717820198357686
700,driving dunk,519,552,0.9402173913043478
700,tip,1018,2025,0.5027160493827161
700,driving finger roll,368,473,0.7780126849894292
700,slam dunk,1242,1266,0.981042654028436
700,turnaround hook,148,263,0.5627376425855514
700,alley oop layup,183,251,0.7290836653386454
700,running hook,187,324,0.5771604938271605
700,alley oop dunk,432,479,0.9018789144050104
700,running layup,298,479,0.6221294363256785
700,jump hook,510,824,0.6189320388349514
700,tip-in,11,71,0.15492957746478872
700,turnaround finger roll,15,16,0.9375
700,hook bank,47,52,0.9038461538461539
700,reverse dunk,107,115,0.9304347826086956
700,3pt,2500,5165,0.484027105517909
700,fade away jumper,144,231,0.6233766233766234
700,driving hook,70,122,0.5737704918032787
700,finger roll,165,234,0.7051282051282052
700,running finger roll,40,51,0.7843137254901961
700,running finger,5,7,0.7142857142857143
700,alley oop layup shot,35,49,0.7142857142857143
700,running tip-in,3,3,1.0
700,de souza jump,1,1,1.0
700,de souza driving layup,1,1,1.0
700,running tip,1,1,1.0
700,running 3pt,5,5,1.0
800,hook,1183,2596,0.4557010785824345
800,jump bank,979,1390,0.7043165467625899
800,jump,22531,65629,0.343308598333054
800,turnaround jump,1341,2448,0.5477941176470589
800,running dunk,85,90,0.9444444444444444
800,driving layup,5424,7166,0.7569076193134245
800,running jump,1670,2861,0.5837119888150997
800,follow up dunk,338,370,0.9135135135135135
800,dunk,2113,2438,0.8666940114848236
800,fade away,766,1226,0.6247960848287113
800,reverse layup,1293,1883,0.6866702071163038
800,layup,10158,21463,0.47327959744676884
800,driving dunk,597,634,0.9416403785488959
800,tip,1175,2313,0.507998270644185
800,driving finger roll,420,545,0.7706422018348624
800,slam dunk,1446,1473,0.9816700610997964
800,turnaround hook,172,309,0.5566343042071198
800,alley oop layup,183,251,0.7290836653386454
800,running hook,222,372,0.5967741935483871
800,alley oop dunk,510,563,0.9058614564831261
800,running layup,330,533,0.6191369606003753
800,jump hook,578,935,0.6181818181818182
800,tip-in,11,71,0.15492957746478872
800,turnaround finger roll,16,17,0.9411764705882353
800,hook bank,55,61,0.9016393442622951
800,reverse dunk,120,129,0.9302325581395349
800,3pt,3758,8531,0.4405110772476849
800,fade away jumper,271,452,0.5995575221238938
800,driving hook,79,139,0.5683453237410072
800,finger roll,184,262,0.7022900763358778
800,running finger roll,40,51,0.7843137254901961
800,running finger,13,19,0.6842105263157895
800,alley oop layup shot,81,111,0.7297297297297297
800,running tip-in,3,3,1.0
800,de souza jump,1,1,1.0
800,de souza driving layup,1,1,1.0
800,running tip,2,2,1.0
