games,shot_type,distance,location,angle,assisted,all_shots,type_and_distance
1700,0.22620796235895452,0.23784797902339216,0.2374584844795376,0.24174425602488017,0.5264467952706907,0.24958763156234745,0.2218531251559172
1800,0.21930719840155843,0.233011659302474,0.23189323928224698,0.23595128490695666,0.5476624165148756,0.24774711726419987,0.21644081235987558
1900,0.22156723591970032,0.23882719912852862,0.2359249745922347,0.24204114160619994,0.5507068223724647,0.2474847665055687,0.21382323154063215
2000,0.22147893762177126,0.23653093303122802,0.23519662292462262,0.2384464967440988,0.5390672319806178,0.2484892488282319,0.2180058967792184
2100,0.2251297625414993,0.2349723148437473,0.23415634830458237,0.2375861975939644,0.5419235511713933,0.2482426708153345,0.22190501204892346
2200,0.2222678508216289,0.24147566615511426,0.24023274617462023,0.2415942544492694,0.5136986301369864,0.2506305333426441,0.2196639360666308
2300,0.22576207127818954,0.2370362448512273,0.23619308186178387,0.24021858921877834,0.5348550277606415,0.24883591647439757,0.222814102231758
2400,0.22222080583965206,0.2403699523647491,0.24210971997163963,0.24373296705114816,0.5465041693393201,0.2478548260335118,0.222011868961189
2500,0.22374779044047396,0.23762561936789103,0.23536805493614915,0.23954283792747438,0.5384138785625775,0.24854407739127962,0.22056705172631436
2600,0.220762433814836,0.23808504502166344,0.23774948530270762,0.24002935643360956,0.5387931034482759,0.2485090419406621,0.22200218885258097
2700,0.23811958219453042,0.24552655536676207,0.24526743155393751,0.24689221120677113,0.5400372439478585,0.24840406932554707,0.2352312418354572
2800,0.23253788627317196,0.24345009368162493,0.24124178202560004,0.24375408980649696,0.5280199252801993,0.2494373335883263,0.23107723372649486
2900,0.21673695311431582,0.24371442317985495,0.2419571873789478,0.24571324767070646,0.5513846153846154,0.2474362618440718,0.21369625694472733
3000,0.21016700200161398,0.2352036873929092,0.233784819800822,0.23843143155475305,0.5418689320388349,0.24824728171125476,0.20531435773300444
3100,0.22066392714533925,0.24004944038647794,0.2376849515122529,0.24008166837424208,0.5388692579505301,0.24850110382019727,0.21695641350121422
3200,0.21933457454485622,0.2364444792261534,0.23423785201597086,0.23916038116168054,0.5357590966122961,0.24876255167089947,0.21813987928871148
3300,0.2249343926567217,0.2356816097383359,0.23415550123582335,0.2395878955189777,0.537712895377129,0.24859608606900643,0.22241880149761703
3400,0.2249030784038589,0.2439731987387884,0.2429615221242681,0.24539588794802464,0.5316055625790139,0.24910537515370954,0.22047257813139168
3500,0.22204444737954024,0.23672150088241378,0.23646518500374308,0.23925669749796796,0.5479535736102626,0.2477389807261031,0.2187257455749053
3600,0.21184101991806722,0.23745727849762863,0.23572950633971076,0.24022157019733367,0.527794746487477,0.24942411144431006,0.20806649737597044
3700,0.22832644974068161,0.23342962435701106,0.23240873396917894,0.23840279095744843,0.5364806866952789,0.24869885377868908,0.22824123548744152
3800,0.2153943460439058,0.23732705682056027,0.23577621928746792,0.2379691673296888,0.5489821882951654,0.24765273438459437,0.2143685147814265
3900,0.22693582991011724,0.2403006030661579,0.23946684889207037,0.24380409996727093,0.5471698113207547,0.24780413506619897,0.22519561804683794
4000,0.23381726072975026,0.2403790543227942,0.23860258161075942,0.24190060189096382,0.5346658338538414,0.2488489637866287,0.23162006641748248
4100,0.2198070781045196,0.2349979770980164,0.23372794385448026,0.23875905962496372,0.5397489539748954,0.24842396701940958,0.21824193383378093
4200,0.22072501475245762,0.23547666994753735,0.23337612893815796,0.23775641138784112,0.5429662635264163,0.2481553371982847,0.21727504778639628
4300,0.21086642463415373,0.2352006885630711,0.23446388672540347,0.2385138193021545,0.5547576301615799,0.2471739415182234,0.20762686161692673
4400,0.22613241456956729,0.23635887682260887,0.23385310055745667,0.23783244613660492,0.5365269461077844,0.2486911636089915,0.22580505313391708
4500,0.22055757022652997,0.23600557640198436,0.23323661486320768,0.23706252531596284,0.5179900744416873,0.2502177796618115,0.22103221845644574
4600,0.23012650746615523,0.23464529024783282,0.23379228169733504,0.23939174329776752,0.5232273838630807,0.24978736134370294,0.22732843966050317
4700,0.21369962234620712,0.2377324627755777,0.23618859960263683,0.2399814500600937,0.5114409400123686,0.25074260395829956,0.2107046488174639
